epoch,QRKM,QADMM,QRAF,QARAF,QWF,QRWF,QPAF
172,-32.30824307615075,-10.145534284298876,-5.964756083069409,-7.804532792599222,-2.362440123413106,-4.717907588368441,-5.183640635824413
173,-32.49541890832671,-10.194584262675388,-5.990025506935732,-7.8410391945708255,-2.37278284797613,-4.739006487255359,-5.205261871167978
174,-32.65443759189736,-10.243601044132369,-6.015273650116201,-7.877510012249694,-2.383100759811563,-4.760080711029841,-5.226860677788771
175,-32.82331575691809,-10.292585041297071,-6.0405007555337615,-7.913945694979222,-2.3933941098659606,-4.781130518170399,-5.248437371050711
176,-32.99235225101455,-10.341536661202639,-6.065707060878939,-7.950346687861705,-2.4036631435027855,-4.802156162837527,-5.2699922593181645
177,-33.14942967521868,-10.390456305417473,-6.090892798762351,-7.986713431773135,-2.4139081007299006,-4.823157894980876,-5.291525644137733
178,-33.312056167608844,-10.439344370162186,-6.116058196862573,-8.023046363376146,-2.4241292164211914,-4.844135960442194,-5.313037820414795
179,-33.46374347034476,-10.488201246425774,-6.141203478069349,-8.05934591513114,-2.4343267205320474,-4.865090601054229,-5.33452907658502
180,-33.58909221037791,-10.53702732006709,-6.166328860622617,-8.095612515306671,-2.4445008383084925,-4.886022054735934,-5.355999694780989
181,-33.74337748249716,-10.585822971935784,-6.191434558247076,-8.131846587988738,-2.4546517904897955,-4.906930555584113,-5.377449950994134
182,-33.871146367856966,-10.634588577966445,-6.216520780282777,-8.16804855308852,-2.4647797935044413,-4.927816333961796,-5.398880115232123
183,-33.96997279642572,-10.68332450927578,-6.241587731811643,-8.204218826350663,-2.474885059659375,-4.948679616583454,-5.420290451671841
184,-34.04545332693823,-10.732031132263572,-6.266635613780154,-8.240357819360243,-2.484967797322476,-4.969520626597319,-5.441681218808147
185,-34.15721919021526,-10.780708808712333,-6.291664623118276,-8.276465939549615,-2.495028211098243,-4.9903395836649045,-5.46305266959848
186,-34.28248889203115,-10.829357895851023,-6.316674952854742,-8.312543590205347,-2.5050665019967013,-5.011136704037944,-5.484405051603535
187,-34.34161869005748,-10.877978746479512,-6.341666792228825,-8.348591170474748,-2.515082867595575,-5.031912200632832,-5.505738607124022
188,-34.44826240019651,-10.926571709019909,-6.3666403267986995,-8.384609075372616,-2.52507750219578,-5.052666283102768,-5.527053573333785
189,-34.45920283820431,-10.975137127598451,-6.39159573854649,-8.420597695788352,-2.5350505969703185,-5.073399157907636,-5.548350182409209
190,-34.488678365362105,-11.02367534216159,-6.416533205980107,-8.45655741849287,-2.5450023401066764,-5.0941110283818585,-5.569628661655198
191,-34.52607828528261,-11.072186688504466,-6.441452904231964,-8.492488626146647,-2.554932916942833,-5.114802094800194,-5.590889233627714
192,-34.55011754552744,-11.120671498369617,-6.466355005154674,-8.528391697307054,-2.5648425100970154,-5.135472554441703,-5.612132116253064
193,-34.54286331033991,-11.169130099509958,-6.491239677413922,-8.564267006437378,-2.5747312995913227,-5.1561226016518775,-5.633357522943935
194,-34.53812403068655,-11.217562815758466,-6.516107086578301,-8.60011492391555,-2.5845994629693867,-5.176752427903082,-5.654565662712397
195,-34.55696955371195,-11.265969967107223,-6.540957395206604,-8.635935816043915,-2.5944471754082046,-5.197362221853357,-5.675756740279855
196,-34.60825549532503,-11.314351869739314,-6.565790762932339,-8.671730045059405,-2.6042746098243192,-5.217952169403667,-5.696930956184114
197,-34.56821731736803,-11.362708836111603,-6.590607346545678,-8.707497969144605,-2.61408193697451,-5.238522453753658,-5.718088506883565
198,-34.57451814523323,-11.411041175016512,-6.615407300072935,-8.743239942439182,-2.6238693255511607,-5.259073255456,-5.73922958485868
199,-34.549838795613674,-11.459349191640797,-6.640190774853567,-8.778956315052543,-2.6336369422724886,-5.279604752469346,-5.760354378710794
200,-34.60071232377354,-11.507633187599229,-6.664957919614809,-8.814647433076994,-2.643384951967798,-5.300117120210022,-5.781463073258296
201,-34.60010109240086,-11.555893461021277,-6.689708880544159,-8.850313638601401,-2.6531135176579514,-5.320610531602408,-5.802555849630316
202,-34.63737791091602,-11.604130306586514,-6.7144438013594465,-8.88595526972571,-2.662822800631216,-5.3410851571281635,-5.823632885357949
